"Subject","Condition","UsesBrick","Helpful"
1,"Control",1,2
2,"Control",24,3
3,"Control",5,5
4,"Control",16,8
5,"Control",21,6
6,"Control",7,9
7,"Control",20,5
8,"Control",1,3
9,"Control",9,5
10,"Control",20,14
11,"Control",19,7
12,"Control",10,12
13,"Control",23,10
14,"Control",16,10
15,"Control",0,13
16,"Control",4,9
17,"Control",9,15
18,"Control",13,3
19,"Control",17,8
20,"Control",13,9
21,"Control",0,13
22,"Control",2,7
23,"Control",12,11
24,"Control",11,7
25,"Control",7,1
26,"Control",1,15
27,"Control",19,1
28,"Control",9,3
29,"Control",12,12
30,"Control",18,0
31,"Control",5,7
32,"Control",21,8
33,"Control",30,5
34,"Control",15,10
35,"Control",4,9
36,"Control",2,9
37,"Control",12,8
38,"Control",11,3
39,"Control",10,5
40,"Control",13,7
41,"Control",11,11
42,"Control",3,6
43,"Control",6,10
44,"Control",10,16
45,"Control",13,8
46,"Control",16,9
47,"Control",12,13
48,"Control",28,7
49,"Control",19,0
50,"Control",12,10
51,"Control",20,11
52,"Control",3,12
53,"Control",11,12
54,"Rude",4,0
55,"Rude",11,9
56,"Rude",18,4
57,"Rude",11,15
58,"Rude",9,0
59,"Rude",6,0
60,"Rude",5,0
61,"Rude",11,1
62,"Rude",9,0
63,"Rude",12,5
64,"Rude",7,1
65,"Rude",5,1
66,"Rude",7,0
67,"Rude",3,1
68,"Rude",11,4
69,"Rude",1,1
70,"Rude",9,2
71,"Rude",11,1
72,"Rude",10,1
73,"Rude",7,0
74,"Rude",8,0
75,"Rude",9,0
76,"Rude",10,0
77,"Rude",7,0
78,"Rude",11,7
79,"Rude",4,0
80,"Rude",13,0
81,"Rude",5,11
82,"Rude",4,1
83,"Rude",7,0
84,"Rude",8,3
85,"Rude",3,1
86,"Rude",8,0
87,"Rude",15,0
88,"Rude",9,0
89,"Rude",16,1
90,"Rude",10,5
91,"Rude",0,0
92,"Rude",7,0
93,"Rude",15,4
94,"Rude",13,3
95,"Rude",9,6
96,"Rude",2,3
97,"Rude",13,1
98,"Rude",10,1
