Year,Month,Failures,CPI,TotAssets,AdjTA
2014,Jan,3,233.9,14121.0383,14121.0383
2014,Feb,2,234.8,14256.961,14202.31336
2014,Mar,0,236.3,14339.7233,14194.08074
2014,Apr,1,237,14392.9852,14204.72252
2014,May,3,237.9,14517.8441,14273.74416
2014,Jun,3,238.3,14651.8591,14381.3254
2014,Jul,2,238.2,14776.0586,14509.32035
2014,Aug,0,237.8,14852.9205,14609.32761
2014,Sep,0,238,14933.3056,14676.05118
2014,Oct,2,237.4,14974.9534,14754.17692
2014,Nov,1,236.2,15082.6768,14935.80908
2014,Dec,1,234.8,15049.6187,14991.93277
2015,Jan,2,233.7,15213.4785,15226.49816
2015,Feb,2,234.7,15263.9881,15211.95917
2015,Mar,0,236.1,15346.1795,15203.18249
2015,Apr,0,236.6,15362.7039,15187.38987
2015,May,1,237.8,15339.1666,15087.59911
2015,Jun,0,238.6,15304.2949,15002.82723
2015,Jul,1,238.6,15360.7831,15058.20271
2015,Aug,0,238.3,15465.3178,15179.7643
2015,Sep,0,237.9,15402.2976,15143.32664
2015,Oct,2,237.8,15594.7353,15338.97639
2015,Nov,0,237.3,15640.1029,15416.01377
2015,Dec,0,236.5,15575.2981,15404.06861
2016,Jan,0,236.9,15661.5959,15463.26417
2016,Feb,0,237.1,15745.7723,15533.26082
2016,Mar,1,238.1,15729.462,15451.99984
2016,Apr,1,239.3,15823.6567,15466.58296
2016,May,1,240.2,15881.5802,15465.03584
2016,Jun,0,241,15930.1026,15460.79252
2016,Jul,0,240.6,16013.1137,15567.19574
2016,Aug,1,240.8,16094.3566,15633.1811
2016,Sep,1,241.1,16078.8605,15598.69544
2016,Oct,0,241.7,16029.8428,15512.53716
2016,Nov,0,241.4,16104.9738,15604.61215
2016,Dec,0,241.4,16078.0503,15578.52512
2017,Jan,2,242.8,16105.5201,15515.16125
2017,Feb,0,243.6,16196.7205,15551.7772
2017,Mar,1,243.8,16218.5027,15559.91707
2017,Apr,1,244.5,16225.9371,15522.48134
2017,May,2,244.7,16236.5979,15519.98467
2017,Jun,0,245,16254.4288,15518.00366
2017,Jul,0,244.8,16357.4568,15629.12233
2017,Aug,0,245.5,16523.7127,15742.95886
2017,Sep,0,246.8,16539.9017,15675.37685
2017,Oct,1,246.7,16588.3178,15727.63491
2017,Nov,0,246.7,16748.3362,15879.35078
2017,Dec,1,246.5,16788.4672,15930.31431
